Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
0,0,0,0,11,1390.166667,0.012121212,0.014545455,0,0,Mar,1,1,1,3,Returning_Visitor,TRUE
5,1652,0,0,15,446.375,0,0.005882353,0,0,Dec,8,13,9,20,Other,FALSE
7,165.9166667,2,150.5,42,3127.078788,0.009614512,0.021287825,0,0,Nov,1,1,3,2,Returning_Visitor,FALSE
0,0,0,0,37,638.25,0.005555556,0.016666667,0,0,Nov,2,2,4,1,Returning_Visitor,FALSE
2,66,1,0,10,302,0.042857143,0.05952381,19.53495497,0,Mar,2,6,3,2,Returning_Visitor,FALSE
9,283.25,0,0,38,1166.166667,0,0.004761905,18.60589711,0,Nov,1,1,9,20,New_Visitor,FALSE
0,0,0,0,12,748.25,0.016666667,0.022222222,0,0,Nov,1,2,1,2,Returning_Visitor,TRUE
0,0,1,98,14,491.375,0,0.011904762,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
2,65.4,0,0,79,2426.006667,0.001265823,0.017721519,0,0,Sep,3,2,1,3,Returning_Visitor,FALSE
3,37.3,4,166,67,3872.50942,0.039495923,0.04474971,2.341419718,0,May,3,2,3,2,Returning_Visitor,TRUE
1,70,0,0,12,1644.233333,0,0.015384615,0,0,Aug,1,1,4,4,New_Visitor,FALSE
0,0,0,0,14,2530.5,0.014285714,0.052380952,0,0.6,May,2,2,9,3,Returning_Visitor,FALSE
0,0,0,0,9,651,0,0.022222222,68.258708,0,Nov,2,2,2,2,Returning_Visitor,FALSE
3,224.5,0,0,1,26.5,0,0.033333333,0,0,Dec,3,2,2,6,New_Visitor,TRUE
6,203.5,0,0,13,645.5,0,0.004166667,0,0.6,May,2,2,3,2,New_Visitor,FALSE
4,148.5,1,118,150,4764.429997,0,0.005636724,33.33074497,0,Mar,2,2,5,2,Returning_Visitor,FALSE
0,0,0,0,83,2922.497511,0.009756098,0.030081301,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,52,1624.223485,0.007692308,0.032692308,0,1,May,2,2,7,6,Returning_Visitor,TRUE
10,163.6333333,1,294,80,1979.3,0.002325581,0.024224806,19.73335395,0,Nov,2,1,2,2,Returning_Visitor,TRUE
2,82,0,0,9,587.25,0.01,0.041666667,0,0,Dec,3,2,1,8,Returning_Visitor,TRUE
3,145.2,0,0,28,425.0969048,0,0.002380952,0,0,Oct,3,2,7,11,New_Visitor,TRUE
1,22,3,39,80,1903.081639,0.007228916,0.032248996,0,0,Dec,3,2,1,2,Returning_Visitor,FALSE
0,0,0,0,8,359,0,0.075,0,0.4,May,1,1,3,3,Returning_Visitor,FALSE
8,183.0833333,1,40.5,349,6879.801826,5.68182e-4,0.004306345,1.625051033,0,Nov,4,2,9,10,Returning_Visitor,FALSE
7,113.75,1,28.5,15,1047,0.010526316,0.019298246,0,0,Dec,1,1,3,2,New_Visitor,FALSE
2,45,2,55.5,4,77.5,0,0.033333333,0,0,May,1,1,2,4,Returning_Visitor,TRUE
1,0,0,0,59,2334.105159,0.018421053,0.042076023,0,0,Dec,2,2,3,3,Returning_Visitor,FALSE
1,90,0,0,6,677,0,0.04,0,0,Dec,8,13,9,20,Other,FALSE
7,42.25714286,0,0,124,4067.010247,0.009230769,0.022888335,6.709440135,0,Nov,2,2,3,2,Returning_Visitor,FALSE
1,65.4,0,0,37,2097.42,0.003603604,0.010990991,0,0,Jul,1,1,5,2,Returning_Visitor,FALSE
1,6,2,15,19,512.0666667,0.00952381,0.033333333,0,0,May,2,2,1,4,Returning_Visitor,FALSE
0,0,0,0,5,223,0,0.04,0,0,May,2,2,3,13,Returning_Visitor,FALSE
0,0,2,84.5,42,2762.408333,0.004545455,0.025151515,0,0,Nov,2,2,1,2,New_Visitor,FALSE
0,0,0,0,87,1197.700198,0,0.002352941,38.00063931,0,Nov,2,2,1,2,New_Visitor,FALSE
1,0,0,0,8,436,0,0.022222222,0,0,Mar,2,4,6,1,Returning_Visitor,TRUE
0,0,0,0,35,584.3083333,0,0.008571429,0,0,Dec,3,2,3,1,Returning_Visitor,FALSE
2,28.2,0,0,7,212.5,0,0.007407407,94.01683315,0,Nov,2,2,3,2,New_Visitor,TRUE
4,62,1,87.6,88,3634.585714,0.00556391,0.035701754,1.435224011,0,Oct,2,2,1,3,Returning_Visitor,FALSE
3,57.6,0,0,19,384.4030303,0.009090909,0.020295983,0,0,Sep,3,7,8,2,Returning_Visitor,FALSE
1,52.5,0,0,19,812.875,0,0.003333333,0,0,Nov,3,3,5,11,Returning_Visitor,TRUE
1,2,6,657.8333333,140,3252.200476,0.005479452,0.024292237,0,0,Jul,2,2,4,1,Returning_Visitor,FALSE
0,0,0,0,27,359,0,0.020512821,0,0,May,1,1,7,2,Returning_Visitor,TRUE
6,49.08333333,1,619.5,58,2572.429487,0.00625,0.020729167,0,0,Nov,1,2,1,2,Returning_Visitor,FALSE
0,0,0,0,20,1116.473333,0.033,0.027954545,0,0,Oct,3,2,6,1,Returning_Visitor,FALSE
0,0,0,0,4,82,0,0.05,0,0,Nov,2,2,4,1,Returning_Visitor,FALSE
0,0,0,0,3,58,0,0.066666667,0,0,Mar,1,1,1,10,Returning_Visitor,FALSE
3,26,0,0,85,768.5,0,0.005813953,0,0,May,2,5,4,4,Returning_Visitor,FALSE
7,135.2833333,3,92.33333333,31,892.7244444,0,0.003468013,31.14097898,0,Oct,3,2,1,5,Returning_Visitor,FALSE
0,0,0,0,15,269.4,0.053333333,0.064444444,0,0,Aug,2,2,3,1,Returning_Visitor,FALSE
3,177,0,0,3,184.5,0.04,0.033333333,0,0,May,3,2,4,11,New_Visitor,FALSE
3,65.5,3,60,30,1383.375,0.014141414,0.039393939,43.20756866,0,Nov,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,19,187.2,0.068421053,0.131578947,0,0,Nov,3,2,3,13,Returning_Visitor,FALSE
0,0,0,0,1,40,0,0.1,0,0,Mar,3,2,1,10,Returning_Visitor,FALSE
2,20.2,0,0,7,114.5333333,0,0.05,0,0,Oct,2,2,1,1,Returning_Visitor,FALSE
6,46.27272727,0,0,113,2216.66832,0.005357143,0.014344857,8.353508036,0.2,May,2,2,1,1,Returning_Visitor,FALSE
2,74,0,0,30,1708.083333,0.006666667,0.013333333,16.1892,0,May,2,2,7,1,Returning_Visitor,TRUE
0,0,0,0,14,260.8666667,0,0.028571429,0,0,June,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,13,255,0,0.015384615,0,0,Mar,2,4,1,1,Returning_Visitor,TRUE
0,0,0,0,2,73,0,0.05,0,0,May,1,1,1,3,Returning_Visitor,FALSE
0,0,4,117.25,96,5286.208333,0.011,0.024119048,0,0,Nov,2,2,1,1,Returning_Visitor,TRUE
5,36.33333333,3,53,22,406,0.002564103,0.013461538,0,0,Mar,4,1,1,1,Returning_Visitor,FALSE
5,52.46666667,1,34.8,6,106.3,0,0.02,0,0,Oct,2,2,3,2,New_Visitor,TRUE
0,0,0,0,15,814,0.030769231,0.053846154,0,0,Nov,1,8,7,1,Returning_Visitor,FALSE
0,0,0,0,2,39.33333333,0,0.025,0,0,Dec,3,2,1,3,Returning_Visitor,FALSE
2,24.42857143,7,278.1666667,76,2735.728571,0.002439024,0.024843206,8.631719512,0,Mar,2,5,2,7,Returning_Visitor,FALSE
5,33,0,0,54,1835.066667,0.003773585,0.011320755,0,0,May,2,2,4,4,Returning_Visitor,FALSE
1,218.6,0,0,19,513.1622222,0.003333333,0.0075,0,0,Aug,3,2,1,2,Returning_Visitor,FALSE
0,0,0,0,35,990.9191176,0.018857143,0.045365079,0,0.8,May,2,10,2,4,Returning_Visitor,FALSE
0,0,0,0,20,873.7365079,0.0075,0.028166667,0,0,Feb,1,2,1,1,Returning_Visitor,FALSE
1,45,0,0,22,2905.5,0.01,0.04,0,0,May,2,2,1,2,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,3,2,2,10,Returning_Visitor,FALSE
12,255.5166667,0,0,38,436.8583333,0,0.010852713,0,0,Oct,2,2,7,5,Returning_Visitor,TRUE
0,0,0,0,3,62,0,0.066666667,0,0.8,May,3,2,8,2,Returning_Visitor,FALSE
0,0,0,0,9,867,0.022222222,0.051851852,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE
4,1521,2,64,30,2284.687302,0.019354839,0.042741935,2.304322581,0,Mar,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,6,140,0,0.033333333,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE
1,9,0,0,15,266,0.028571429,0.057142857,0,0.8,May,4,2,1,13,Returning_Visitor,FALSE
10,170.9263566,0,0,282,4339.924841,0.002040816,0.011461095,2.395283135,0,Sep,2,2,4,1,Returning_Visitor,FALSE
0,0,0,0,20,1722.866667,0.01,0.075,0,0.2,May,2,2,6,1,Returning_Visitor,FALSE
2,64.5,0,0,24,1151.136905,0,0.0186,15.27655756,0,Dec,2,2,3,2,Returning_Visitor,FALSE
6,125.25,2,89,146,3697.731633,0.008108108,0.015188129,73.35866939,0,Nov,2,2,1,2,Returning_Visitor,TRUE
0,0,2,8,27,723.7666667,0.011494253,0.016387521,0,0,Nov,1,1,1,2,Returning_Visitor,TRUE
4,69,1,0,19,580.5,0.010526316,0.049122807,22.32934737,0,May,2,2,1,3,Returning_Visitor,TRUE
0,0,0,0,4,47.5,0.05,0.075,0,0,May,3,2,6,3,Returning_Visitor,FALSE
2,8,2,90.2,13,1286.050476,0.0125,0.019886364,0,0,Aug,2,2,3,2,Returning_Visitor,FALSE
0,0,0,0,11,229.9166667,0.018181818,0.040909091,0,0,Nov,3,2,4,1,Returning_Visitor,TRUE
0,0,0,0,5,56,0.04,0.08,0,0,Mar,2,4,1,1,Returning_Visitor,TRUE
0,0,0,0,84,2524.194444,0,0.013730159,0,0,Nov,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0.4,May,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,1,24,0,0.1,0,0,May,1,1,4,3,Returning_Visitor,TRUE
0,0,0,0,25,686.5,0.016,0.032,0,0,Dec,2,2,7,1,Returning_Visitor,TRUE
0,0,0,0,2,93,0,0.05,0,0,Dec,3,2,5,2,Returning_Visitor,FALSE
0,0,0,0,3,823.5,0,0.066666667,0,0,Dec,2,2,3,8,Returning_Visitor,FALSE
0,0,0,0,25,319.3333333,0.016666667,0.036666667,10.4445,0,May,2,5,5,1,Returning_Visitor,FALSE
0,0,0,0,18,689.6666667,0.023529412,0.030392157,0,0,May,2,2,7,6,Returning_Visitor,TRUE
0,0,0,0,37,511.1666667,0.018018018,0.036936937,0,1,May,2,2,1,13,Returning_Visitor,TRUE
0,0,0,0,59,1309.658333,0.017241379,0.030879354,0,0,Dec,3,2,3,1,Returning_Visitor,FALSE
2,66,1,0,10,302,0.042857143,0.05952381,19.53495497,0,Mar,2,6,3,2,Returning_Visitor,FALSE
0,0,2,33,21,1277.833333,0.008695652,0.036956522,0,0,May,2,2,7,6,Returning_Visitor,TRUE
0,0,0,0,9,116.3333333,0,0.066666667,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,31,558.3333333,0,0.026666667,0,0.8,May,2,2,8,3,Returning_Visitor,FALSE
0,0,0,0,5,54.33333333,0,0.02,0,0,Dec,1,2,1,3,Returning_Visitor,FALSE
9,234.4333333,0,0,20,590.5833333,0.025925926,0.040922619,0,0,Nov,2,2,7,1,Returning_Visitor,FALSE
0,0,0,0,3,0,0.2,0.2,0,0,May,1,1,9,4,Returning_Visitor,TRUE
4,61,0,0,117,1569.866667,0.003418803,0.011870845,49.95438177,0,May,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,6,61,0,0.066666667,0,0,Mar,2,4,1,3,Returning_Visitor,FALSE
0,0,0,0,10,80.5,0.083333333,0.092222222,0,0,Dec,2,2,1,3,Returning_Visitor,FALSE
6,378.4666667,0,0,13,950.6666667,0.022222222,0.054444444,0,0,Oct,1,1,1,3,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,5,1,3,Returning_Visitor,FALSE
0,0,0,0,5,178.8333333,0,0.04,0,0,Nov,2,2,7,13,Returning_Visitor,TRUE
2,167.8888889,2,825.5,117,5256.472341,0.004030055,0.014604028,3.187495058,0,Nov,3,2,5,8,Returning_Visitor,FALSE
5,241.35,0,0,5,244.7,0.011111111,0.033333333,0,0,Nov,2,2,4,1,Returning_Visitor,TRUE
0,0,0,0,3,283,0.066666667,0.133333333,0,0,May,2,2,3,4,Returning_Visitor,FALSE
0,0,0,0,8,135.25,0,0.05,0,0,Nov,2,2,9,1,Returning_Visitor,FALSE
0,0,0,0,17,526.8333333,0,0.055882353,0,0,May,2,2,2,4,Returning_Visitor,TRUE
11,281.3333333,0,0,41,1167.95,0,0.011347518,7.907379545,0,Nov,1,1,3,2,New_Visitor,TRUE
0,0,0,0,6,255,0,0.008333333,0,0,Mar,1,2,8,2,Returning_Visitor,TRUE
0,0,0,0,1,0.5,0,0.066666667,0,0,Dec,2,2,4,13,Returning_Visitor,FALSE
0,0,0,0,12,468,0.016666667,0.033333333,0,0,Mar,4,1,4,3,Returning_Visitor,FALSE
4,245.8,1,0,28,707.9116667,0,0.017241379,0,0,Sep,1,1,3,2,Returning_Visitor,FALSE
2,10,1,17,21,1647.5,0,0.013043478,0,0,May,2,2,4,4,Returning_Visitor,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,8,196.5,0,0.025,0,0,Mar,2,2,1,10,Returning_Visitor,FALSE
2,7,0,0,21,467.952381,0.047619048,0.068253968,0,0,May,2,5,1,3,Returning_Visitor,FALSE
0,0,0,0,2,113,0,0.1,0,0,May,2,2,3,13,Returning_Visitor,FALSE
1,8,0,0,14,269.5,0,0.019047619,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE
6,268.95,2,153,139,5286.587577,0.002959159,0.018209889,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE
6,186.6666667,2,100.8,11,347.4,0,0.015,0,0,Aug,3,2,4,5,Returning_Visitor,FALSE
14,260.7361111,3,186.5,51,2921.902778,0.013661202,0.02989071,8.339171985,0,Nov,4,2,7,1,Returning_Visitor,TRUE
0,0,0,0,2,0,0.2,0.2,0,0,Mar,3,2,6,1,Returning_Visitor,FALSE
0,0,0,0,9,869,0,0.022222222,0,0,May,2,5,1,4,Returning_Visitor,FALSE
4,58,0,0,31,806.5,0,0.009375,9.7455,0,May,2,4,1,4,Returning_Visitor,FALSE
0,0,0,0,6,78.75,0.033333333,0.066666667,0,0,Nov,2,2,9,3,Returning_Visitor,FALSE
2,101.75,0,0,9,561.25,0.022222222,0.033333333,26.38074656,0,Dec,3,2,1,1,Returning_Visitor,FALSE
0,0,0,0,24,431.2,0.0125,0.055555556,0,0,Sep,1,8,2,1,Returning_Visitor,FALSE
0,0,0,0,26,1026.75,0,0.022222222,0,0.2,May,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,May,2,2,1,4,Returning_Visitor,FALSE
3,19,0,0,8,344,0,0.007407407,0,0,Feb,2,4,2,3,Returning_Visitor,FALSE
1,107,0,0,27,839.6666667,0.021428571,0.036666667,0,0.4,May,3,2,3,13,Returning_Visitor,FALSE
3,73.2,5,124.2666667,10,239.7,0,0.0025,0,0,Sep,2,2,5,1,New_Visitor,FALSE
5,85.25,0,0,3,36.25,0,0.00952381,0,0,Nov,2,4,4,2,Returning_Visitor,FALSE
2,136.6666667,1,9.5,20,1572.571429,0,0.015873016,0,0,Mar,3,2,3,1,Returning_Visitor,FALSE
0,0,0,0,8,729,0.041666667,0.070833333,0,0.4,May,2,2,8,1,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0.2,May,3,2,6,3,Returning_Visitor,FALSE
3,42,0,0,16,1266.5,0,0.003508772,0,0,Mar,2,2,6,1,Returning_Visitor,FALSE
0,0,0,0,4,67,0,0.05,0,0,Dec,2,2,9,2,Returning_Visitor,FALSE
0,0,0,0,4,47.5,0.05,0.075,0,0,May,3,2,6,3,Returning_Visitor,FALSE
10,268,2,7,24,551.6666667,0.008333333,0.020833333,0,0,May,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,10,99,0.04,0.046666667,0,0.6,May,3,2,1,3,Returning_Visitor,FALSE
8,246.5,0,0,74,2326.666667,0,0.002597403,5.015272727,0,May,2,4,3,2,New_Visitor,FALSE
1,13,0,0,52,1380.166667,0.007692308,0.023076923,21.10579025,0,Nov,2,2,3,3,Returning_Visitor,TRUE
10,163.6333333,1,294,80,1979.3,0.002325581,0.024224806,19.73335395,0,Nov,2,1,2,2,Returning_Visitor,TRUE
9,356.7464198,4,1109.533333,81,6847.936896,0.015227273,0.022982896,5.046329077,0,Oct,1,1,3,1,Returning_Visitor,FALSE
0,0,0,0,5,19,0,0.08,0,0.6,May,2,2,1,3,Returning_Visitor,FALSE
9,153.9166667,0,0,97,1935.887111,0.001168385,0.008928355,0,0,Dec,2,2,4,2,Returning_Visitor,FALSE
2,98,0,0,44,2279.222222,0.001111111,0.012301587,7.0182,0,May,3,2,7,4,Returning_Visitor,FALSE
5,85.16666667,4,365.9666667,31,538.72,0.014035088,0.029699248,0,0,Oct,4,1,3,1,Returning_Visitor,FALSE
1,17.75,0,0,22,610.975,0.031818182,0.072727273,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
4,46.04166667,4,93.41666667,75,6057.928961,0.01042524,0.019667423,0,0,Nov,3,2,1,2,Returning_Visitor,FALSE
0,0,0,0,8,198.9,0.0875,0.116666667,0,0,Jul,1,1,1,3,Returning_Visitor,FALSE
0,0,0,0,8,863.3333333,0,0.014583333,0,0,Mar,2,2,4,3,Returning_Visitor,TRUE
0,0,0,0,24,386.75,0.016666667,0.051388889,0,0,Nov,2,4,1,3,Returning_Visitor,FALSE
0,0,0,0,2,24,0,0.05,0,0,Mar,3,2,3,3,Returning_Visitor,FALSE
3,73.2,5,124.2666667,10,239.7,0,0.0025,0,0,Sep,2,2,5,1,New_Visitor,FALSE
0,0,0,0,15,454.75,0.026666667,0.033333333,0,0,May,3,2,3,1,Returning_Visitor,TRUE
6,114.2591575,9,352.0833333,119,6245.704152,0.003125,0.012179841,32.32493691,0,Dec,3,2,1,2,Returning_Visitor,TRUE
7,64.14285714,1,0,20,1409.809524,0.008695652,0.035507246,0,0,Mar,3,2,3,2,Returning_Visitor,FALSE
0,0,0,0,2,0,0,0.2,0,0.8,May,3,2,3,13,Returning_Visitor,FALSE
0,0,0,0,15,150.4,0,0.013333333,0,0,Nov,2,2,7,20,Returning_Visitor,FALSE
0,0,0,0,31,5764.366667,0.032258065,0.055591398,0,0,Mar,2,2,7,10,Returning_Visitor,FALSE
7,75.05,0,0,31,489.1452381,0.011111111,0.022222222,27.38224222,0,Mar,2,2,5,2,Returning_Visitor,TRUE
4,100,0,0,18,954.9083333,0,0.008521303,0,0,Nov,1,2,8,2,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,1,8,2,1,Returning_Visitor,FALSE
4,157,0,0,20,834.075,0,0.013333333,4.84736534,0,Dec,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,65,6053.466667,0.005208333,0.026197917,0,0,Sep,2,4,9,3,Returning_Visitor,FALSE
1,11.88888889,0,0,111,3510.879903,9.83e-5,0.009438427,12.01656549,0,Mar,3,2,5,2,Returning_Visitor,FALSE
0,0,0,0,6,285.5,0,0.04,18.1695357,0,Nov,1,1,1,8,New_Visitor,FALSE
0,0,0,0,24,1163.266667,0.061111111,0.083333333,27.287869,0,Oct,1,1,4,1,Returning_Visitor,TRUE
0,0,0,0,20,219.3333333,0,0.011666667,0,0,Mar,1,8,7,2,Returning_Visitor,FALSE
0,0,0,0,26,2351.7,0.008,0.034666667,0,0,May,2,6,8,3,Returning_Visitor,FALSE
2,37.33333333,0,0,31,1552.883333,0,0.008333333,0,0,May,2,2,3,2,Returning_Visitor,FALSE
6,287,0,0,80,5046.056667,0.011084337,0.025771658,0.579785745,0,Oct,2,2,4,3,Returning_Visitor,FALSE
0,0,0,0,42,1185.666667,0,0.004761905,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,25,375.6,0,0.004,0,0.4,May,2,2,1,4,Returning_Visitor,FALSE
0,0,0,0,22,1076.65,0.023809524,0.036507937,10.7869918,0,Aug,2,2,2,1,Returning_Visitor,FALSE
8,203.6,1,0,42,1052.4,0,0.004545455,37.35725827,0,Nov,2,2,5,2,Returning_Visitor,FALSE
0,0,0,0,1,13,0,0.1,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE
0,0,0,0,4,143.5,0.033333333,0.058333333,0,0,Dec,1,1,1,2,Returning_Visitor,FALSE
10,175.4666667,1,7,82,2378.377381,0.004318937,0.017004257,13.9750483,0,Nov,3,2,1,13,Returning_Visitor,FALSE
0,0,0,0,4,123.3,0,0,67.98927956,0,Oct,1,1,1,2,Returning_Visitor,FALSE
3,126.5,0,0,36,576.8571429,0.005555556,0.01087963,0,0,Dec,1,1,4,3,Returning_Visitor,FALSE
4,206.3333333,0,0,20,917.35,0,0.008333333,23.83323089,0,Mar,4,2,1,2,Returning_Visitor,TRUE
1,9,0,0,32,536.6833333,0,5.8651e-4,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,8,211.3333333,0,0.075,0,0,May,2,5,3,2,Returning_Visitor,TRUE
0,0,0,0,16,177.5,0.025,0.0875,0,0.6,May,4,2,1,6,Returning_Visitor,FALSE
0,0,0,0,15,436,0.013333333,0.086666667,0,0.8,May,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,12,338.75,0,0.033333333,0,0,Nov,2,4,1,2,Returning_Visitor,FALSE
0,0,0,0,5,819.5,0,0.036,0,0,Mar,2,2,1,2,Returning_Visitor,TRUE
0,0,0,0,6,916.25,0,0.006666667,0,0,May,2,2,9,2,Returning_Visitor,FALSE
6,66.55,0,0,41,1556.523333,0.005681818,0.012878788,0,0,Aug,3,2,1,4,Returning_Visitor,TRUE
0,0,0,0,2,14,0,0.1,0,0,Dec,2,2,2,2,Returning_Visitor,FALSE
0,0,0,0,26,553.5,0,0.008333333,35.98,0,May,2,5,3,4,Returning_Visitor,FALSE
0,0,0,0,6,285.5,0,0.04,18.1695357,0,Nov,1,1,1,8,New_Visitor,FALSE
2,103.3,0,0,38,1649.766667,0,0.011965812,0,0,Oct,1,1,3,3,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,3,2,6,1,Returning_Visitor,FALSE
0,0,0,0,62,2636.513492,0.04781874,0.061364567,0,0,Jul,3,2,3,13,Returning_Visitor,TRUE
8,335.0636364,3,738.0833333,36,2228.707287,0.005853659,0.010086083,27.79149135,0,Dec,1,1,3,2,New_Visitor,FALSE
0,0,0,0,10,204.6,0,0.02,0,0,Jul,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,17,132.6333333,0.011764706,0.007843137,0,0,Mar,1,1,1,2,Returning_Visitor,FALSE
6,368.75,0,0,46,3368.305556,0.003846154,0.011858974,0,0,Nov,2,2,1,2,New_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Feb,4,1,9,3,Returning_Visitor,FALSE
7,221,0,0,27,1753.583333,0,0.013131313,0,0.2,May,1,1,1,3,Returning_Visitor,FALSE
4,118.5,1,8.5,62,2910.632251,0.005833333,0.017587302,25.05062136,0,Nov,3,2,1,2,Returning_Visitor,FALSE
0,0,0,0,8,388.5,0,0.014285714,0,0,May,3,2,6,4,Returning_Visitor,FALSE
